colDane,sede,tipo
"311001107581","SEDE UNO","unica"
"311279000094","SEDE UNO","unica"
"311279000281","SEDE UNO","unica"
"311279000311","SEDE UNO","unica"
"311279000396","SEDE UNO","unica"
"311279000906","SEDE UNO","unica"
"111001006483","SEDE UNO","manana"
"111001006483","SEDE UNO","tarde"
"111265000343","SEDE UNO","manana"
"111265000343","SEDE UNO","tarde"
"111001108901","SEDE UNO","manana"
"111001108901","SEDE UNO","tarde"
"111001015458","SEDE UNO","manana"
"111001015458","SEDE UNO","tarde"
"111001033979","SEDE UNO","manana"
"111001033979","SEDE UNO","tarde"
"111265000025","SEDE UNO","manana"
"111265000025","SEDE UNO","tarde"
"111001034002","SEDE UNO","unica"
"111001036625","SEDE UNO","unica"
"111001010740","SEDE UNO","unica"
"111001009580","SEDE UNO","manana"
"111001009580","SEDE UNO","tarde"
"111001000272","SEDE UNO","manana"
"111001000272","SEDE UNO","tarde"
"111001015806","SEDE UNO","manana"
"111001015806","ANDALUCIA","tarde"
"111001011771","SEDE UNO","manana"
"111001011771","SEDE UNO","tarde"
"111265000017","SEDE UNO","unica"
"111001017795","SEDE UNO","manana"
"111001017795","SEDE UNO","tarde"
"111001046299","SEDE UNO","manana"
"111001046299","SEDE UNO","tarde"
"111001001121","SEDE UNO","manana"
"111001001121","SEDE UNO","tarde"
"111001011070","SEDE UNO","manana"
"111001011070","SEDE UNO","tarde"
"111001012441","SEDE UNO","unica"
"111001013293","SEDE UNO","manana"
"111001013293","JAIRO A. NIÑO","tarde"
"111001035521","SEDE UNO","manana"
"111001035521","SEDE UNO","tarde"
"111265000408","SEDE UNO","manana"
"111265000408","SEDE UNO","tarde"
"111001001538","SEDE UNO","unica"
"111001104035","SEDE UNO","manana"
"111001104035","SEDE UNO","tarde"
"111001015814","SEDE UNO","manana"
"111001015814","SEDE UNO","tarde"
"111001009971","SEDE UNO","manana"
"111001009971","SEDE UNO","tarde"
"111001009521","SEDE UNO","manana"
"111001009521","SEDE UNO","tarde"
"111001109550","SEDE UNO","manana"
"111001109550","SEDE UNO","tarde"
"111001012459","SEDE UNO","manana"
"111001012459","SEDE UNO","tarde"
"111265000394","SEDE UNO","manana"
"111265000394","SEDE UNO","tarde"
"111001012483","SEDE UNO","manana"
"111001012483","SEDE UNO","tarde"
"111001108456","SEDE UNO","manana"
"111001108456","SEDE UNO","tarde"
"111001025216","SEDE UNO","unica"
"111001098922","SEDE UNO","unica"
"111001098931","SEDE UNO","unica"
"311001000531","SEDE UNO","unica"
"311001001081","SEDE UNO","unica"
"311001009031","SEDE UNO","unica"
"311001019053","SEDE UNO","unica"
"311001025878","SEDE UNO","unica"
"311001027056","SEDE UNO","unica"
"311001040630","SEDE UNO","unica"
"311001044473","SEDE UNO","unica"
"311001088331","SEDE UNO","unica"
"311001094811","SEDE UNO","unica"
"311001096228","SEDE UNO","unica"
"311001097259","SEDE UNO","unica"
"311001109036","SEDE UNO","unica"
"311265000369","SEDE UNO","unica"
"311265001152","SEDE UNO","unica"
"111001025020","SEDE UNO","manana"
"111001025020","SEDE UNO","tarde"
"111001093084","SEDE UNO","manana"
"111001093084","SEDE UNO","tarde"
"111769001502","SEDE UNO","manana"
"111769001502","SEDE UNO","tarde"
"211769003151","SEDE UNO","manana"
"211769003151","NICOLAS B","tarde"
"111001104256","SEDE UNO","unica"
"111769000247","SEDE UNO","manana"
"111769000247","SEDE UNO","tarde"
"111001104264","SEDE UNO","manana"
"111001104264","SEDE UNO","tarde"
"111769003424","SEDE UNO","unica"
"111001104388","SEDE UNO","manana"
"111001104388","SEDE UNO","tarde"
"111001075515","SEDE UNO","manana"
"111001075515","SEDE UNO","tarde"
"111769004188","SEDE UNO","manana"
"111769004188","SEDE UNO","tarde"
"111001015776","SEDE UNO","unica"
"111769003416","SEDE UNO","manana"
"111769003416","SEDE UNO","tarde"
"111001002330","SEDE UNO","manana"
"111001002330","SEDE UNO","tarde"
"111001094889","SEDE UNO","manana"
"111001094889","SEDE UNO","tarde"
"111001075272","SEDE UNO","unica"
"111769001871","SEDE UNO","unica"
"111769000956","SEDE UNO","manana"
"111769000956","SEDE UNO","tarde"
"111001086665","SEDE UNO","unica"
"111769003360","SEDE UNO","manana"
"111769003360","SEDE UNO","tarde"
"111769000174","SEDE UNO","unica"
"111001045225","SEDE UNO","manana"
"111001045225","SEDE UNO","tarde"
"111001107077","SEDE UNO","manana"
"111001107077","SEDE UNO","tarde"
"111769003122","SEDE UNO","unica"
"111001107069","SEDE UNO","manana"
"111001107069","SEDE UNO","tarde"
"111769003114","SEDE UNO","manana"
"111769003114","SEDE UNO","tarde"
"111001098949","SEDE UNO","unica"
"111001104043","SEDE UNO","unica"
"311001000590","SEDE UNO","unica"
"311001000735","SEDE UNO","unica"
"311001001626","SEDE UNO","unica"
"311001002576","SEDE UNO","unica"
"311001011460","SEDE UNO","unica"
"311001033676","SEDE UNO","unica"
"311001033838","SEDE UNO","unica"
"311001050023","SEDE UNO","unica"
"311001065420","SEDE UNO","unica"
"311001076634","SEDE UNO","unica"
"311001076677","SEDE UNO","unica"
"311001087253","SEDE UNO","unica"
"311001089221","SEDE UNO","unica"
"311001090793","SEDE UNO","unica"
"311001091129","SEDE UNO","unica"
"311001091315","SEDE UNO","unica"
"311001092907","SEDE UNO","unica"
"311001093130","SEDE UNO","unica"
"311001101019","SEDE UNO","unica"
"311001105383","SEDE UNO","unica"
"311001107190","SEDE UNO","unica"
"311001107645","SEDE UNO","unica"
"311001109257","SEDE UNO","unica"
"311769000564","SEDE UNO","unica"
"311769000734","SEDE UNO","unica"
"311769000785","SEDE UNO","unica"
"311769000823","SEDE UNO","unica"
"311769000921","SEDE UNO","unica"
"311769000980","SEDE UNO","unica"
"311769002010","SEDE UNO","unica"
"311769002451","SEDE UNO","unica"
"311769002796","SEDE UNO","unica"
"311769003211","SEDE UNO","unica"
"311769004225","SEDE UNO","unica"
"311769004365","SEDE UNO","unica"
"311848000961","SEDE UNO","unica"
"411769000119","SEDE UNO","unica"
"111001024830","SEDE UNO","unica"
"111001077321","SEDE UNO","unica"
"111001000612","SEDE A","unica"
"111001009148","SEDE UNO","manana"
"111001009148","SEDE B","tarde"
"111001009148","SEDE UNO","unica"
"111001010421","SEDE UNO","manana"
"111001010421","SEDE UNO","tarde"
"111001029912","SEDE UNO","manana"
"111001029912","SEDE UNO","tarde"
"111001028258","SEDE UNO","unica"
"111001011088","SEDE UNO","unica"
"111001008389","SEDE UNO","manana"
"111001008389","SEDE UNO","tarde"
"111001032255","SEDE UNO","manana"
"111001032255","SEDE UNO","tarde"
"311001001031","SEDE UNO","unica"
"311001001839","SEDE UNO","unica"
"311001016976","SEDE UNO","unica"
"111001010731","SEDE UNO","manana"
"111001010731","SEDE UNO","tarde"
"111001094897","SEDE UNO","unica"
"311001004471","SEDE UNO","unica"
"311001001871","SEDE UNO","unica"
"311279000043","SEDE UNO","unica"
"311001108722","SEDE UNO","unica"
"311001005583","SEDE UNO","unica"
"311001038201","SEDE UNO","unica"
"111001014001","SEDE UNO","manana"
"111001014001","SEDE UNO","tarde"
"111001025313","SEDE UNO","unica"
"111001019526","SEDE UNO","manana"
"111001019526","SEDE UNO","tarde"
"111001030856","SEDE UNO","unica"
"111001016250","SEDE UNO","manana"
"111001016250","SEDE UNO","tarde"
"111001041459","SEDE UNO","manana"
"111001041459","SEDE UNO","tarde"
"111001102181","SEDE UNO","manana"
"111001102181","SEDE UNO","tarde"
"111001026069","SEDE UNO","manana"
"111001026069","SEDE UNO","tarde"
"311001017557","SEDE UNO","unica"
"311001028222","SEDE UNO","unica"
"111001012602","SEDE UNO","manana"
"111001012602","SEDE UNO","unica"
"111001011908","SEDE UNO","unica"
"111001014630","SEDE UNO","manana"
"111001014630","SEDE UNO","unica"
"111001011053","SEDE UNO","manana"
"111001011053","SEDE UNO","unica"
"111001086720","SEDE UNO","unica"
"311001005737","SEDE UNO","unica"
"311001000883","SEDE UNO","unica"
"311001001162","SEDE UNO","unica"
"311001033463","SEDE UNO","unica"
"311001008931","SEDE UNO","unica"
"311001036217","SEDE UNO","unica"
"111001011274","SEDE UNO","manana"
"111001011274","SEDE UNO","tarde"
"111001014745","SEDE UNO","unica"
"111001012963","SEDE UNO","manana"
"111001012963","REPUBLICA DE FRANCIA","tarde"
"111001000078","SEDE UNO","unica"
"111001012530","SEDE UNO","manana"
"111001012530","SEDE UNO","tarde"
"111001012556","SEDE UNO","unica"
"111001014729","JOSE JOAQUIN CASAS","unica"
"111001045535","SEDE UNO","unica"
"111001102172","MUZU No. 1","manana"
"111001102172","MUZU No. 1","tarde"
"111001006122","SEDE UNO","manana"
"111001006122","SEDE UNO","tarde"
"111001065056","SEDE UNO","manana"
"111001065056","SEDE UNO","tarde"
"111001014869","SEDE UNO","manana"
"111001014869","SEDE UNO","tarde"
"111001014826","SEDE UNO","unica"
"111001011045","SEDE UNO","manana"
"111001011045","SEDE UNO","tarde"
"111001020168","SEDE UNO","manana"
"111001020168","SEDE UNO","tarde"
"311001090912","SEDE UNO","unica"
"311001015112","SEDE UNO","unica"
"311001007403","SEDE UNO","unica"
"311001033366","SEDE UNO","unica"
"311001016984","SEDE UNO","unica"
"311001019690","SEDE UNO","unica"
"111001000388","QUINTA DIAZ","manana"
"111001000388","QUINTA DIAZ","unica"
"111001102148","LA CONCORDIA","manana"
"111001102148","LA CONCORDIA","unica"
"311001003084","SEDE UNO","unica"
"311001001391","SEDE UNO","unica"
"111001015172","SEDE UNO","manana"
"111001015172","SEDE UNO","tarde"
"111001018058","REINO UNIDO DE HOLANDA","manana"
"111001018058","SEDE UNO","tarde"
"111001027383","CHIRCALES","manana"
"111001027383","CHIRCALES","tarde"
"111001015733","SEDE UNO","manana"
"111001015733","SEDE UNO","tarde"
"111001012611","SEDE UNO","manana"
"111001012611","SEDE UNO","tarde"
"111001034134","SEDE UNO","manana"
"111001034134","SEDE UNO","tarde"
"111001014958","SEDE UNO","unica"
"111001102091","NESTOR FORERO ALCALA","manana"
"111001102091","NESTOR FORERO ALCALA","tarde"
"111001102091","DIANA TURBAY","tarde"
"111001014664","SEDE UNO","manana"
"111001014664","SEDE UNO","tarde"
"111001030015","SEDE UNO","manana"
"111001030015","SEDE UNO","tarde"
"111001027332","SEDE UNO","manana"
"111001027332","SEDE UNO","tarde"
"111001027332","SEDE UNO","unica"
"111001036765","LUIS LOPEZ DE MESA","manana"
"111001036765","LUIS LOPEZ DE MESA","tarde"
"111001036765","NAZARETH","manana"
"111001036765","NAZARETH","tarde"
"111001011819","SEDE UNO","manana"
"111001011819","SEDE UNO","tarde"
"111001014591","SEDE UNO","manana"
"111001014591","SEDE UNO","tarde"
"111001107794","SEDE UNO","manana"
"111001107794","SEDE UNO","tarde"
"111001076376","SEDE UNO","manana"
"111001076376","SEDE UNO","tarde"
"111001020095","SEDE UNO","manana"
"111001020095","SEDE UNO","tarde"
"111001012815","SEDE UNO","manana"
"111001012815","SEDE UNO","tarde"
"111001012971","GENERAL PAEZ","manana"
"111001012971","SEDE UNO","tarde"
"111001011029","SEDE UNO","manana"
"111001011029","SEDE UNO","tarde"
"111001032395","SEDE UNO","unica"
"111001014028","SEDE UNO","unica"
"111001010928","SEDE UNO","manana"
"111001010928","SEDE UNO","tarde"
"111001013811","SEDE UNO","manana"
"111001013811","SEDE UNO","tarde"
"111001098965","SEDE UNO","unica"
"311001000727","SEDE UNO","unica"
"311001001332","SEDE UNO","unica"
"311001004986","SEDE UNO","unica"
"311001009007","SEDE UNO","unica"
"311001012598","SEDE UNO","unica"
"311001016828","SEDE UNO","unica"
"311001077037","SEDE UNO","unica"
"311001101850","SEDE UNO","unica"
"111001035572","SEDE UNO","manana"
"111001035572","SEDE UNO","tarde"
"111001107859","SEDE UNO","manana"
"111001107859","SEDE UNO","tarde"
"111001047571","SEDE UNO","manana"
"111001047571","SEDE UNO","tarde"
"111001030848","SEDE UNO","manana"
"111001030848","SEDE UNO","tarde"
"311001075034","SEDE UNO","unica"
"111001086801","SEDE UNO","manana"
"111001086801","SEDE UNO","tarde"
"111001096555","SEDE UNO","manana"
"111001096555","SEDE UNO","tarde"
"111001028266","SEDE UNO","unica"
"111001102130","COMPARTIR LUCERO ALTO","manana"
"111001102130","SEDE UNO","tarde"
"111001102105","CONFEDERACION SUIZA","manana"
"111001102105","SEDE UNO","tarde"
"111001107816","SEDE UNO","manana"
"111001107816","SEDE UNO","tarde"
"111001102164","MINUTO DE MARIA","manana"
"111001102164","MINUTO DE MARIA","tarde"
"111001045730","SEDE UNO","manana"
"111001045730","SEDE UNO","tarde"
"111001045730","EL PARAISO","unica"
"111001102113","SEDE UNO","manana"
"111001102113","SEDE C ","tarde"
"111001075663","SEDE UNO","manana"
"111001075663","ESTRELLA DEL SUR","tarde"
"111001109304","SEDE UNO","manana"
"111001109304","SEDE UNO","tarde"
"111001044385","SEDE UNO","manana"
"111001044385","SEDE UNO","tarde"
"111001020320","SEDE UNO","manana"
"111001020320","SEDE UNO","tarde"
"111001036561","SEDE UNO","unica"
"111001107115","SEDE UNO","manana"
"111001107115","SEDE UNO","tarde"
"111001047457","SEDE UNO","unica"
"111001092410","SEDE UNO","manana"
"111001092410","SEDE UNO","tarde"
"111001027251","SEDE UNO","unica"
"111001075329","SEDE UNO","manana"
"111001075329","SEDE UNO","tarde"
"111001034240","SEDE UNO","manana"
"111001034240","SEDE UNO","tarde"
"111001047678","SEDE UNO","manana"
"111001047678","PARAISO MIRADOR","tarde"
"111001014524","SEDE UNO","manana"
"111001014524","SEDE UNO","tarde"
"111001014486","SEDE UNO","manana"
"111001014486","SEDE UNO","tarde"
"111001036781","SEDE UNO","unica"
"211850001317","SEDE UNO","unica"
"211850001121","SEDE UNO","manana"
"211850001121","SEDE UNO","tarde"
"211850001171","SEDE UNO","unica"
"111001076937","SEDE UNO","manana"
"111001076937","SEDE UNO","tarde"
"111001030821","COMPARTIR MEISSEN","manana"
"111001030821","SEDE UNO","tarde"
"111001086835","SEDE UNO","manana"
"111001086835","SEDE UNO","tarde"
"111001075752","SEDE UNO","unica"
"111001030830","SEDE UNO","manana"
"111001030830","SEDE UNO","tarde"
"111001102121","VILLA GLORIA","unica"
"111001100013","SEDE UNO","unica"
"111001098973","SEDE UNO","unica"
"111001100021","SEDE UNO","unica"
"311001005109","SEDE UNO","unica"
"311001037213","SEDE UNO","unica"
"311001041113","SEDE UNO","unica"
"311001039780","SEDE UNO","unica"
"311001093016","SEDE UNO","unica"
"311001046263","SEDE UNO","unica"
"311001044881","SEDE UNO","unica"
"211001076346","LAS AURAS","unica"
"211850001473","LA UNION","manana"
"211850001473","TUNAL ALTO","manana"
"211850001473","ERASMO VALENCIA","unica"
